#{"t_start": 1744427526.9152334, "env_id": "None"}
r,l,t
-529713.203739,4054,8.633396
-529931.789825,4054,15.133724
-532832.008198,4054,21.515242
-530322.166745,4054,27.940107
-530651.49218,4054,34.557662
-530543.753579,4054,42.575699
-530558.097872,4054,49.477448
-529858.244357,4054,56.537442
-533151.325078,4054,63.341619
-530027.060037,4054,70.340463
-529348.631247,4054,77.191737
-528981.425335,4054,83.46996
-530676.461879,4054,89.42978
-534274.265133,4054,95.718877
-531989.756456,4054,101.639534
-531601.892056,4054,107.311321
-531834.999513,4054,113.520651
-532363.310435,4054,119.224629
-533727.010464,4054,125.013431
-530430.240331,4054,134.04832
-530963.558996,4054,139.813926
-533851.601254,4054,145.592827
-533056.474837,4054,152.611907
-532324.338275,4054,160.723876
